state,year_month_dt,year_month,vehicle_count,vehicle_count_num
W.P. Putrajaya,2019-07-01,2019-07,0,0
W.P. Putrajaya,2019-08-01,2019-08,0,0
W.P. Putrajaya,2019-09-01,2019-09,0,0
W.P. Putrajaya,2019-10-01,2019-10,0,0
W.P. Putrajaya,2019-11-01,2019-11,0,0
W.P. Putrajaya,2019-12-01,2019-12,0,0
W.P. Putrajaya,2020-01-01,2020-01,0,0
W.P. Putrajaya,2020-02-01,2020-02,0,0
W.P. Putrajaya,2020-03-01,2020-03,0,0
W.P. Putrajaya,2020-04-01,2020-04,0,0
W.P. Putrajaya,2020-05-01,2020-05,0,0
W.P. Putrajaya,2020-06-01,2020-06,0,0
W.P. Putrajaya,2020-07-01,2020-07,0,0
W.P. Putrajaya,2020-08-01,2020-08,0,0
W.P. Putrajaya,2020-09-01,2020-09,0,0
W.P. Putrajaya,2020-10-01,2020-10,0,0
W.P. Putrajaya,2020-11-01,2020-11,0,0
W.P. Putrajaya,2020-12-01,2020-12,0,0
W.P. Putrajaya,2021-01-01,2021-01,0,0
W.P. Putrajaya,2021-02-01,2021-02,0,0
W.P. Putrajaya,2021-03-01,2021-03,0,0
W.P. Putrajaya,2021-04-01,2021-04,0,0
W.P. Putrajaya,2021-05-01,2021-05,0,0
W.P. Putrajaya,2021-06-01,2021-06,0,0
W.P. Putrajaya,2021-07-01,2021-07,0,0
W.P. Putrajaya,2021-08-01,2021-08,0,0
W.P. Putrajaya,2021-09-01,2021-09,0,0
W.P. Putrajaya,2021-10-01,2021-10,0,0
W.P. Putrajaya,2021-11-01,2021-11,0,0
W.P. Putrajaya,2021-12-01,2021-12,0,0
W.P. Putrajaya,2022-01-01,2022-01,0,0
W.P. Putrajaya,2022-02-01,2022-02,0,0
W.P. Putrajaya,2022-03-01,2022-03,0,0
W.P. Putrajaya,2022-04-01,2022-04,0,0
W.P. Putrajaya,2022-05-01,2022-05,0,0
W.P. Putrajaya,2022-06-01,2022-06,0,0
W.P. Putrajaya,2022-07-01,2022-07,0,0
W.P. Putrajaya,2022-08-01,2022-08,0,0
W.P. Putrajaya,2022-09-01,2022-09,0,0
W.P. Putrajaya,2022-10-01,2022-10,0,0
W.P. Putrajaya,2022-11-01,2022-11,0,0
W.P. Putrajaya,2022-12-01,2022-12,0,0
W.P. Putrajaya,2023-01-01,2023-01,0,0
W.P. Putrajaya,2023-02-01,2023-02,0,0
W.P. Putrajaya,2023-03-01,2023-03,0,0
W.P. Putrajaya,2023-04-01,2023-04,0,0
W.P. Putrajaya,2023-05-01,2023-05,0,0
W.P. Putrajaya,2023-06-01,2023-06,0,0
W.P. Putrajaya,2023-07-01,2023-07,0,0
W.P. Putrajaya,2023-08-01,2023-08,0,0
W.P. Putrajaya,2023-09-01,2023-09,0,0
W.P. Putrajaya,2023-10-01,2023-10,0,0
W.P. Putrajaya,2023-11-01,2023-11,0,0
W.P. Putrajaya,2023-12-01,2023-12,0,0
W.P. Putrajaya,2024-01-01,2024-01,0,0
W.P. Putrajaya,2024-02-01,2024-02,0,0
W.P. Putrajaya,2024-03-01,2024-03,0,0
W.P. Putrajaya,2024-04-01,2024-04,0,0
W.P. Putrajaya,2024-05-01,2024-05,0,0
W.P. Putrajaya,2024-06-01,2024-06,0,0
W.P. Putrajaya,2024-07-01,2024-07,0,0
W.P. Putrajaya,2024-08-01,2024-08,0,0
W.P. Putrajaya,2024-09-01,2024-09,0,0
W.P. Putrajaya,2024-10-01,2024-10,0,0
W.P. Putrajaya,2024-11-01,2024-11,0,0
W.P. Putrajaya,2024-12-01,2024-12,0,0
W.P. Putrajaya,2025-01-01,2025-01,0,0
W.P. Putrajaya,2025-02-01,2025-02,0,0
W.P. Putrajaya,2025-03-01,2025-03,0,0
W.P. Putrajaya,2025-04-01,2025-04,0,0
W.P. Putrajaya,2025-05-01,2025-05,0,0
W.P. Putrajaya,2025-06-01,2025-06,0,0
W.P. Putrajaya,2025-07-01,2025-07,0,0
W.P. Putrajaya,2025-08-01,2025-08,0,0
W.P. Putrajaya,2025-09-01,2025-09,0,0
W.P. Putrajaya,2025-10-01,2025-10,0,0
W.P. Putrajaya,2025-11-01,2025-11,0,0
W.P. Putrajaya,2025-12-01,2025-12,0,0
